paper_id,title,paper_type,total_score,reasons
multi-agent-medical-decision-consensus-matrix-system-an-intelligent-collaborativ,Multi-Agent Medical Decision Consensus Matrix System: An Intelligent Collaborative Framework for Oncology MDT Consultations,agent_system,60.0,score_affecting_response_repair; invalid_evidence_dropped
nutriorion-a-hierarchical-multi-agent-framework-for-personalized-nutrition-inter,NutriOrion: A Hierarchical Multi-Agent Framework for Personalized Nutrition Intervention Grounded in Clinical Guidelines,agent_system,67.5,invalid_evidence_dropped
oema-ontology-enhanced-multi-agent-collaboration-framework-for-zero-shot-clinica,OEMA: Ontology-Enhanced Multi-Agent Collaboration Framework for Zero-Shot Clinical Named Entity Recognition,method_model,67.5,low_dimension_confidence
opgagent-an-agent-for-auditable-dental-panoramic-x-ray-interpretation,OPGAgent: An Agent for Auditable Dental Panoramic X-ray Interpretation,agent_system,67.5,invalid_evidence_dropped
on-device-large-multi-modal-agent-for-human-activity-recognition,On-device Large Multi-modal Agent for Human Activity Recognition,agent_system,52.5,low_dimension_confidence; low_paper_type_confidence
operating-room-workflow-analysis-via-reasoning-segmentation-over-digital-twins,Operating Room Workflow Analysis via Reasoning Segmentation over Digital Twins,agent_system,55.0,score_affecting_response_repair
pass-probabilistic-agentic-supernet-sampling-for-interpretable-and-adaptive-ches,PASS: Probabilistic Agentic Supernet Sampling for Interpretable and Adaptive Chest X-Ray Reasoning,agent_system,55.0,score_affecting_response_repair; invalid_evidence_dropped
piors-personalized-intelligent-outpatient-reception-based-on-large-language-mode,PIORS: Personalized Intelligent Outpatient Reception based on Large Language Model with Multi-Agents Medical Scenario Simulation,agent_system,0.0,score_affecting_response_repair
prism-patient-records-interpretation-for-semantic-clinical-trial-matching-system,PRISM: Patient Records Interpretation for Semantic clinical trial Matching system using large language models,agent_system,75.0,score_affecting_response_repair; invalid_evidence_dropped
path-rag-knowledge-guided-key-region-retrieval-for-open-ended-pathology-visual-q,Path-RAG: Knowledge-Guided Key Region Retrieval for Open-ended Pathology Visual Question Answering,method_model,65.0,score_affecting_response_repair
pathasst-a-generative-foundation-ai-assistant-towards-artificial-general-intelli,PathAsst: A Generative Foundation AI Assistant Towards Artificial General Intelligence of Pathology,method_model,55.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair
pathgen-1-6m-1-6-million-pathology-image-text-pairs-generation-through-multi-age,PathGen-1.6M: 1.6 Million Pathology Image-text Pairs Generation through Multi-agent Collaboration,method_model,25.0,low_dimension_confidence; score_affecting_response_repair
patho-agenticrag-towards-multimodal-agentic-retrieval-augmented-generation-for-p,Patho-AgenticRAG: Towards Multimodal Agentic Retrieval-Augmented Generation for Pathology VLMs via Reinforcement Learning,method_model,67.5,low_dimension_confidence
perfusion-imaging-and-single-material-reconstruction-in-polychromatic-photon-cou,Perfusion Imaging and Single Material Reconstruction in Polychromatic Photon Counting CT,method_model,72.5,low_dimension_confidence; score_affecting_response_repair
picking-the-right-specialist-attentive-neural-process-based-selection-of-task-sp,Picking the Right Specialist: Attentive Neural Process-based Selection of Task-Specialized Models as Tools for Agenic Healthcare Systems,method_model,90.0,low_dimension_confidence; low_paper_type_confidence
polaris-a-safety-focused-llm-constellation-architecture-for-healthcare,Polaris: A Safety-focused LLM Constellation Architecture for Healthcare,agent_system,85.0,low_dimension_confidence
privacy-preserving-operating-room-workflow-analysis-using-digital-twins,Privacy-Preserving Operating Room Workflow Analysis using Digital Twins,method_model,63.89,low_paper_type_confidence
protrlsearch-a-multi-round-multimodal-protein-search-agent-with-large-language-m,ProtRLSearch: A Multi-Round Multimodal Protein Search Agent with Large Language Models Trained via Reinforcement Learning,agent_system,57.5,low_dimension_confidence
psydraw-a-multi-agent-multimodal-system-for-mental-health-screening-in-left-behi,PsyDraw: A Multi-Agent Multimodal System for Mental Health Screening in Left-Behind Children,agent_system,60.0,low_dimension_confidence; invalid_evidence_dropped
rag-enhanced-collaborative-llm-agents-for-drug-discovery,RAG-Enhanced Collaborative LLM Agents for Drug Discovery,agent_system,57.5,invalid_evidence_dropped
rareagents-autonomous-multi-disciplinary-team-for-rare-disease-diagnosis-and-tre,RAREAGENTS: Autonomous Multi-disciplinary Team for Rare Disease Diagnosis and Treatment,agent_system,67.5,low_dimension_confidence
re-mcdf-closed-loop-multi-expert-llm-reasoning-for-knowledge-grounded-clinical-d,RE-MCDF: Closed-Loop Multi-Expert LLM Reasoning for Knowledge-Grounded Clinical Diagnosis,method_model,62.5,low_paper_type_confidence; invalid_evidence_dropped
radfabric-agentic-ai-system-with-reasoning-capability-for-radiology,RadFabric: Agentic AI System with Reasoning Capability for Radiology,agent_system,77.5,score_affecting_response_repair
radiologist-copilot-an-agentic-framework,Radiologist Copilot: An Agentic Framework,agent_system,45.0,score_affecting_response_repair; invalid_evidence_dropped
rationale-guided-retrieval-augmented-generation-for-medical-question-answering,Rationale-Guided Retrieval Augmented Generation for Medical Question Answering,method_model,67.5,low_dimension_confidence
rex-mle-the-autonomous-agent-benchmark-for-medical-imaging-challenges,ReX-MLE: The Autonomous Agent Benchmark for Medical Imaging Challenges,benchmark,67.5,score_affecting_response_repair; invalid_evidence_dropped
resilient-multi-agent-negotiation-for-medical-supply-chains-integrating-llms-and,Resilient Multi-Agent Negotiation for Medical Supply Chains: Integrating LLMs and Blockchain for Transparent Coordination,agent_system,50.0,score_affecting_response_repair; invalid_evidence_dropped
route-retrieve-reflect-repair-self-improving-agentic-framework-for-visual-detect,"Route, Retrieve, Reflect, Repair: Self-Improving Agentic Framework for Visual Detection and Linguistic Reasoning in Medical Imaging",agent_system,75.0,low_dimension_confidence
scaling-medical-reasoning-verification-via-tool-integrated-reinforcement-learnin,Scaling Medical Reasoning Verification via Tool-Integrated Reinforcement Learning,method_model,65.0,score_affecting_response_repair; invalid_evidence_dropped
silence-is-not-consensus-disrupting-agreement-bias-in-multi-agent-llms-via-catfi,Silence is Not Consensus: Disrupting Agreement Bias in Multi-Agent LLMs via Catfish Agent for Clinical Decision Making,method_model,67.5,invalid_evidence_dropped
simulated-patient-systems-powered-by-large-language-model-based-ai-agents-offer-,Simulated patient systems powered by large language model-based AI agents offer potential for transforming medical education,agent_system,55.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
survagent-hierarchical-cot-enhanced-case-banking-and-y-based-multi-agent-system-,SurvAgent: Hierarchical CoT-Enhanced Case Banking and y-Based Multi-Agent System for Multimodal Survival Prediction,agent_system,67.5,low_dimension_confidence
synthagent-a-multi-agent-llm-framework-for-realistic-patient-simulation-a-case-s,SynthAgent: A Multi-Agent LLM Framework for Realistic Patient Simulation - A Case Study in Obesity with Mental Health Comorbidities,agent_system,67.5,invalid_evidence_dropped
tarse-test-time-adaptation-via-retrieval-of-skills-and-experience-for-reasoning-,TARSE: Test-Time Adaptation via Retrieval of Skills and Experience for Reasoning Agents,method_model,67.5,invalid_evidence_dropped
the-ai-scientist-v2-workshop-level-automated-scientific-discovery-via-agentic-tr,THE AI SCIENTIST-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,agent_system,0.0,score_affecting_response_repair
towards-next-generation-medical-agent-how-01-is-reshaping-decision-making-in-med,TOWARDS NEXT-GENERATION MEDICAL AGENT: HOW 01 IS RESHAPING DECISION-MAKING IN MEDICAL SCENARIOS,method_model,67.5,low_dimension_confidence; low_paper_type_confidence
trace-temporal-reasoning-via-agentic-context-evolution-for-streaming-electronic-,TRACE: Temporal Reasoning via Agentic Context Evolution for Streaming Electronic Health Records (EHRs),method_model,72.5,low_dimension_confidence; low_paper_type_confidence
talk2care-facilitating-asynchronous-patient-provider-communication-with-large-la,Talk2Care: Facilitating Asynchronous Patient-Provider Communication with Large-Language-Model,agent_system,62.5,low_dimension_confidence
the-ai-scientist-towards-fully-automated-open-ended-scientific-discovery,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,agent_system,67.5,low_dimension_confidence; low_paper_type_confidence; invalid_evidence_dropped
the-virtual-lab-ai-agents-design-new-sars-cov-2-nanobodies-with-experimental-val,The Virtual Lab: AI Agents Design New SARS-CoV-2 Nanobodies with Experimental Validation,agent_system,50.0,low_dimension_confidence
thucy-an-llm-based-multi-agent-system-for-claim-verification-across-relational-d,Thucy: An LLM-based Multi-Agent System for Claim Verification across Relational Databases,agent_system,70.0,invalid_evidence_dropped
toolformer-language-models-can-teach-themselves-to-use-tools,Toolformer: Language Models Can Teach Themselves to Use Tools,method_model,57.5,invalid_evidence_dropped
towards-efficient-and-robust-linguistic-emotion-diagnosis-for-mental-health-via-,Towards Efficient and Robust Linguistic Emotion Diagnosis for Mental Health via Multi-Agent Instruction Refinement,method_model,55.0,low_dimension_confidence; low_paper_type_confidence; score_affecting_response_repair
traj-coa-patient-trajectory-modeling-via-chain-of-agents-for-lung-cancer-risk-pr,Traj-CoA: Patient Trajectory Modeling via Chain-of-Agents for Lung Cancer Risk Prediction,agent_system,55.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
tree-of-reasoning-towards-complex-medical-diagnosis-via-multi-agent-reasoning-wi,Tree-of-Reasoning: Towards Complex Medical Diagnosis via Multi-Agent Reasoning with Evidence Tree,agent_system,67.5,invalid_evidence_dropped
understanding-the-benefits-and-challenges-of-using-large-language-model-based-co,Understanding the Benefits and Challenges of Using Large Language Model-based Conversational Agents for Mental Well-being Support,survey_review,84.62,low_paper_type_confidence
vchatter-exploring-generative-conversational-agents-for-simulating-exposure-ther,VChatter: Exploring Generative Conversational Agents for Simulating Exposure Therapy to Reduce Social Anxiety,agent_system,50.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
vision-language-model-for-report-generation-and-outcome-prediction-in-ct-pulmona,Vision-language model for report generation and outcome prediction in CT pulmonary angiogram,agent_system,55.0,score_affecting_response_repair
wsi-agents-a-collaborative-multi-agent-system-for-multi-modal-whole-slide-image-,WSI-Agents: A Collaborative Multi-Agent System for Multi-Modal Whole Slide Image Analysis,agent_system,67.5,low_dimension_confidence
webgpt-browser-assisted-question-answering-with-human-feedback,WebGPT: Browser-assisted question-answering with human feedback,method_model,25.0,score_affecting_response_repair
webpilot-a-versatile-and-autonomous-multi-agent-system-for-web-task-execution-wi,WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration,agent_system,45.0,low_dimension_confidence; score_affecting_response_repair
zodiac-a-cardiologist-level-llm-framework-for-multi-agent-diagnostics,ZODIAC: A CARDIOLOGIST-LEVEL LLM FRAMEWORK FOR MULTI-AGENT DIAGNOSTICS,agent_system,67.5,low_dimension_confidence
cotherapist-a-behavior-aligned-small-language-model-to-support-mental-healthcare,coTherapist: A Behavior-Aligned Small Language Model to Support Mental Healthcare Experts,method_model,80.0,low_dimension_confidence
