no,paper_id,title,paper_type,completeness_score
167,medagentboard-benchmarking-multi-agent-collaboration-with-conventional-methods-f,MedAgentBoard: Benchmarking Multi-Agent Collaboration with Conventional Methods for Diverse Medical Tasks,benchmark,77.5
168,medagents-large-language-models-as-collaborators-for-zero-shot-medical-reasoning,MedAgents: Large Language Models as Collaborators for Zero-shot Medical Reasoning,method_model,55.0
169,medagentsbench-benchmarking-thinking-models-and-agent-frameworks-for-complex-med,MEDAGENTSBENCH: Benchmarking Thinking Models and Agent Frameworks for Complex Medical Reasoning,benchmark,67.5
170,medagentsim-self-evolving-multi-agent-simulations-for-realistic-clinical-interac,MedAgentSim: Self-Evolving Multi-Agent Simulations for Realistic Clinical Interactions,agent_system,80.0
171,medai-evaluating-txagent-s-therapeutic-agenic-reasoning-in-the-neurips-cure-benc,MedAI: Evaluating TxAgent's Therapeutic Agenic Reasoning in the NeurIPS CURE-Bench Competition,method_model,80.0
172,medaide-information-fusion-and-anatomy-of-medical-intents-via-llm-based-agent-co,MEDAIDE: Information Fusion and Anatomy of Medical Intents via LLM-based Agent Collaboration,agent_system,45.0
173,medbeads-an-agent-native-immutable-data-substrate-for-trustworthy-medical-ai,"MedBeads: An Agent-Native, immutable Data Substrate for Trustworthy Medical AI",agent_system,72.5
174,medbench-v4-a-robust-and-scalable-benchmark-for-evaluating-chinese-medical-langu,"MEDBENCH V4: A ROBUST AND SCALABLE BENCHMARK FOR EVALUATING CHINESE MEDICAL LANGUAGE MODELS, MULTIMODAL MODELS, AND INTELLIGENT AGENTS",benchmark,77.5
175,medbuild-ai-an-agent-based-hybrid-intelligence-framework-for-reshaping-agency-in,MedBuild AI: An Agent-Based Hybrid Intelligence Framework for Reshaping Agency in Healthcare Infrastructure Planning through Generative Design for Medical Architecture,agent_system,37.5
176,medchain-bridging-the-gap-between-llm-agents-and-clinical-practice-with-interact,MedChain: Bridging the Gap Between LLM Agents and Clinical Practice with Interactive Sequence,benchmark,57.5
177,medclarify-an-information-seeking-ai-agent-for-medical-diagnosis-with-case-speci,MedClarify: An information-seeking AI agent for medical diagnosis with case-specific follow-up questions,agent_system,35.0
178,medco-medical-education-copilots-based-on-a-multi-agent-framework,MEDCO: Medical Education Copilots Based on A Multi-Agent Framework,agent_system,62.5
179,medcog-maximizing-llm-inference-density-in-medical-reasoning-via-meta-cognitive-,MedCoG: Maximizing LLM Inference Density in Medical Reasoning via Meta-Cognitive Regulation,method_model,67.5
180,medcollab-causal-driven-multi-agent-collaboration-for-full-cycle-clinical-diagno,MedCollab: Causal-Driven Multi-Agent Collaboration for Full-Cycle Clinical Diagnosis via IBIS-Structured Argumentation,agent_system,35.0
181,medconsultbench-a-full-cycle-fine-grained-process-aware-benchmark-for-medical-co,"MedConsultBench: A Full-Cycle, Fine-Grained, Process-Aware Benchmark for Medical Consultation Agents",benchmark,87.5
182,medcorag-interpretable-hepatology-diagnosis-via-hybrid-evidence-retrieval-and-mu,MEDCoRAG: Interpretable Hepatology Diagnosis via Hybrid Evidence Retrieval and Multispecialty Consensus,agent_system,50.0
183,meddcr-learning-to-design-agenic-workflows-for-medical-coding,MedDCR: Learning to Design Agenic Workflows for Medical Coding,agent_system,62.5
184,meddialogrubrics-a-comprehensive-benchmark-and-evaluation-framework-for-multi-tu,MEDDIALOGRUBRICS: A COMPREHENSIVE BENCHMARK AND EVALUATION FRAMEWORK FOR MULTI-TURN MEDICAL CONSULTATIONS IN LARGE LANGUAGE MODELS,benchmark,67.5
185,medeinst-benchmarking-the-einstellung-effect-in-medical-llms-through-counterfact,MedEinst: Benchmarking the Einstellung Effect in Medical LLMs through Counterfactual Differential Diagnosis,benchmark,77.5
186,medeyes-learning-dynamic-visual-focus-for-medical-progressive-diagnosis,MedEyes: Learning Dynamic Visual Focus for Medical Progressive Diagnosis,method_model,77.5
187,medical-malice-a-dataset-for-context-aware-safety-in-healthcare-llms,Medical Malice: A Dataset for Context-Aware Safety in Healthcare LLMs,benchmark,70.0
188,medinsightbench-evaluating-medical-analytics-agents-through-multi-step-insight-d,MEDINSIGHTBENCH: EVALUATING MEDICAL ANALYTICS AGENTS THROUGH MULTI-STEP INSIGHT DISCOVERY IN MULTI-MODAL MEDICAL DATA,benchmark,67.5
189,mediq-question-asking-llms-and-a-benchmark-for-reliable-interactive-clinical-rea,MEDIQ: Question-Asking LLMs and a Benchmark for Reliable Interactive Clinical Reasoning,benchmark,77.5
190,medorch-medical-diagnosis-with-tool-augmented-reasoning-agents-for-flexible-exte,MedOrch: Medical Diagnosis with Tool-Augmented Reasoning Agents for Flexible Extensibility,agent_system,62.5
191,medrax-medical-reasoning-agent-for-chest-x-ray,MedRAX: Medical Reasoning Agent for Chest X-ray,agent_system,77.5
192,medresearcher-r1-expert-level-medical-deep-researcher-via-a-knowledge-informed-t,MedResearcher-R1: Expert-Level Medical Deep Researcher via A Knowledge-Informed Trajectory Synthesis Framework,method_model,35.0
193,medsam-agent-empowering-interactive-medical-image-segmentation-with-multi-turn-a,MedSAM-Agent: Empowering Interactive Medical Image Segmentation with Multi-turn Agenic Reinforcement Learning,method_model,67.5
194,medsam3-delving-into-segment-anything-with-medical-concepts,MedSAM3: Delving into Segment Anything with Medical Concepts,method_model,67.5
195,medscope-incentivizing-think-with-videos-for-clinical-reasoning-via-coarse-to-fi,"MedScope: Incentivizing ""Think with Videos"" for Clinical Reasoning via Coarse-to-Fine Tool Calling",method_model,77.5
196,medtutor-r1-socratic-personalized-medical-teaching-with-multi-agent-simulation,MedTutor-R1: Socratic Personalized Medical Teaching with Multi-Agent Simulation,method_model,67.5
197,medvistagym-a-scalable-training-environment-for-thinking-with-medical-images-via,MEDVISTAGYM: A Scalable Training Environment for Thinking with Medical Images via Tool-Integrated Reinforcement Learning,benchmark,90.0
198,medxiaohe-a-comprehensive-recipe-for-building-medical-mllms,MedXIAOHE: A Comprehensive Recipe for Building Medical MLLMs,method_model,67.5
199,meissa-multi-modal-medical-agentic-intelligence,MEISSA: Multi-modal Medical Agentic Intelligence,method_model,67.5
200,mentalagora-a-gateway-to-advanced-personalized-care-in-mental-health-through-mul,MentalAgora: A Gateway to Advanced Personalized Care in Mental Health through Multi-Agent Debating and Attribute Control,method_model,55.0
201,metagpt-meta-programming-for-a-multi-agent-collaborative-framework,METAGPT: META PROGRAMMING FOR A MULTI-AGENT COLLABORATIVE FRAMEWORK,method_model,77.5
202,mind-towards-immersive-psychological-healing-with-multi-agent-inner-dialogue,MIND: Towards Immersive Psychological Healing with Multi-Agent Inner Dialogue,agent_system,72.5
203,mind-unified-inquiry-and-diagnosis-rl-with-criteria-grounded-clinical-supports-f,MIND: Unified Inquiry and Diagnosis RL with Criteria Grounded Clinical Supports for Psychiatric Consultation,agent_system,55.0
204,mitigating-cognitive-biases-in-clinical-decision-making-through-multi-agent-conv,Mitigating Cognitive Biases in Clinical Decision-Making Through Multi-Agent Conversations Using Large Language Models: Simulation Study,agent_system,67.5
205,mmedagent-rl-optimizing-multi-agent-collaboration-for-multimodal-medical-reasoni,MMEDAGENT-RL: OPTIMIZING MULTI-AGENT COLLABORATION FOR MULTIMODAL MEDICAL REASONING,method_model,77.5
206,mmedagent-learning-to-use-medical-tools-with-multi-modal-agent,MMedAgent: Learning to Use Medical Tools with Multi-modal Agent,agent_system,55.0
207,mmedagent-learning-to-use-medical-tools-with-multi-modal-agent-dup2,MMedAgent: Learning to Use Medical Tools with Multi-modal Agent,agent_system,57.5
208,multi-agent-intelligence-for-multidisciplinary-decision-making-in-gastrointestin,Multi-Agent Intelligence for Multidisciplinary Decision-Making in Gastrointestinal Oncology,agent_system,55.0
209,multi-agent-medical-decision-consensus-matrix-system-an-intelligent-collaborativ,Multi-Agent Medical Decision Consensus Matrix System: An Intelligent Collaborative Framework for Oncology MDT Consultations,agent_system,60.0
210,multi-agent-reasoning-for-cardiovascular-imaging-phenotype-analysis,Multi-Agent Reasoning for Cardiovascular Imaging Phenotype Analysis,agent_system,67.5
211,multi-aspect-knowledge-enhanced-medical-vision-language-pretraining-with-multi-a,Multi-Aspect Knowledge-Enhanced Medical Vision-Language Pretraining with Multi-Agent Data Generation,method_model,52.5
212,multimodal-large-language-models-for-medicine-a-comprehensive-survey,Multimodal Large Language Models for Medicine: A Comprehensive Survey,survey_review,70.0
213,nutriorion-a-hierarchical-multi-agent-framework-for-personalized-nutrition-inter,NutriOrion: A Hierarchical Multi-Agent Framework for Personalized Nutrition Intervention Grounded in Clinical Guidelines,agent_system,67.5
214,oema-ontology-enhanced-multi-agent-collaboration-framework-for-zero-shot-clinica,OEMA: Ontology-Enhanced Multi-Agent Collaboration Framework for Zero-Shot Clinical Named Entity Recognition,method_model,67.5
215,on-device-large-multi-modal-agent-for-human-activity-recognition,On-device Large Multi-modal Agent for Human Activity Recognition,agent_system,52.5
216,operating-room-workflow-analysis-via-reasoning-segmentation-over-digital-twins,Operating Room Workflow Analysis via Reasoning Segmentation over Digital Twins,agent_system,55.0
217,opgagent-an-agent-for-auditable-dental-panoramic-x-ray-interpretation,OPGAgent: An Agent for Auditable Dental Panoramic X-ray Interpretation,agent_system,67.5
218,pass-probabilistic-agentic-supernet-sampling-for-interpretable-and-adaptive-ches,PASS: Probabilistic Agentic Supernet Sampling for Interpretable and Adaptive Chest X-Ray Reasoning,agent_system,55.0
219,path-rag-knowledge-guided-key-region-retrieval-for-open-ended-pathology-visual-q,Path-RAG: Knowledge-Guided Key Region Retrieval for Open-ended Pathology Visual Question Answering,method_model,65.0
220,pathasst-a-generative-foundation-ai-assistant-towards-artificial-general-intelli,PathAsst: A Generative Foundation AI Assistant Towards Artificial General Intelligence of Pathology,method_model,55.0
221,pathfinder-a-multi-modal-multi-agent-system-for-medical-diagnostic-decision-maki,PathFinder: A Multi-Modal Multi-Agent System for Medical Diagnostic Decision-Making Applied to Histopathology,agent_system,67.5
222,pathgen-1-6m-1-6-million-pathology-image-text-pairs-generation-through-multi-age,PathGen-1.6M: 1.6 Million Pathology Image-text Pairs Generation through Multi-agent Collaboration,method_model,25.0
223,patho-agenticrag-towards-multimodal-agentic-retrieval-augmented-generation-for-p,Patho-AgenticRAG: Towards Multimodal Agentic Retrieval-Augmented Generation for Pathology VLMs via Reinforcement Learning,method_model,67.5
224,perfusion-imaging-and-single-material-reconstruction-in-polychromatic-photon-cou,Perfusion Imaging and Single Material Reconstruction in Polychromatic Photon Counting CT,method_model,72.5
225,picking-the-right-specialist-attentive-neural-process-based-selection-of-task-sp,Picking the Right Specialist: Attentive Neural Process-based Selection of Task-Specialized Models as Tools for Agenic Healthcare Systems,method_model,90.0
226,piors-personalized-intelligent-outpatient-reception-based-on-large-language-mode,PIORS: Personalized Intelligent Outpatient Reception based on Large Language Model with Multi-Agents Medical Scenario Simulation,agent_system,0.0
227,polaris-a-safety-focused-llm-constellation-architecture-for-healthcare,Polaris: A Safety-focused LLM Constellation Architecture for Healthcare,agent_system,85.0
228,prism-patient-records-interpretation-for-semantic-clinical-trial-matching-system,PRISM: Patient Records Interpretation for Semantic clinical trial Matching system using large language models,agent_system,75.0
229,privacy-preserving-operating-room-workflow-analysis-using-digital-twins,Privacy-Preserving Operating Room Workflow Analysis using Digital Twins,method_model,63.89
230,protrlsearch-a-multi-round-multimodal-protein-search-agent-with-large-language-m,ProtRLSearch: A Multi-Round Multimodal Protein Search Agent with Large Language Models Trained via Reinforcement Learning,agent_system,57.5
231,pruning-minimal-reasoning-graphs-for-efficient-retrieval-augmented-generation,Pruning Minimal Reasoning Graphs for Efficient Retrieval-Augmented Generation,method_model,67.5
232,psydraw-a-multi-agent-multimodal-system-for-mental-health-screening-in-left-behi,PsyDraw: A Multi-Agent Multimodal System for Mental Health Screening in Left-Behind Children,agent_system,60.0
233,radfabric-agentic-ai-system-with-reasoning-capability-for-radiology,RadFabric: Agentic AI System with Reasoning Capability for Radiology,agent_system,77.5
234,radiologist-copilot-an-agentic-framework,Radiologist Copilot: An Agentic Framework,agent_system,45.0
235,rag-enhanced-collaborative-llm-agents-for-drug-discovery,RAG-Enhanced Collaborative LLM Agents for Drug Discovery,agent_system,57.5
236,rareagents-autonomous-multi-disciplinary-team-for-rare-disease-diagnosis-and-tre,RAREAGENTS: Autonomous Multi-disciplinary Team for Rare Disease Diagnosis and Treatment,agent_system,67.5
237,rationale-guided-retrieval-augmented-generation-for-medical-question-answering,Rationale-Guided Retrieval Augmented Generation for Medical Question Answering,method_model,67.5
238,re-mcdf-closed-loop-multi-expert-llm-reasoning-for-knowledge-grounded-clinical-d,RE-MCDF: Closed-Loop Multi-Expert LLM Reasoning for Knowledge-Grounded Clinical Diagnosis,method_model,62.5
239,react-synergizing-reasoning-and-acting-in-language-models,REACT: SYNERGIZING REASONING AND ACTING IN LANGUAGE MODELS,method_model,67.5
240,resilient-multi-agent-negotiation-for-medical-supply-chains-integrating-llms-and,Resilient Multi-Agent Negotiation for Medical Supply Chains: Integrating LLMs and Blockchain for Transparent Coordination,agent_system,50.0
241,retrieval-augmented-generation-for-knowledge-intensive-nlp-tasks,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,method_model,90.0
242,rex-mle-the-autonomous-agent-benchmark-for-medical-imaging-challenges,ReX-MLE: The Autonomous Agent Benchmark for Medical Imaging Challenges,benchmark,67.5
243,route-retrieve-reflect-repair-self-improving-agentic-framework-for-visual-detect,"Route, Retrieve, Reflect, Repair: Self-Improving Agentic Framework for Visual Detection and Linguistic Reasoning in Medical Imaging",agent_system,75.0
244,rx-strategist-prescription-verification-using-llm-agents-system,Rx Strategist: Prescription Verification using LLM Agents System,agent_system,67.5
245,scalable-stewardship-of-an-llm-assisted-clinical-benchmark-with-physician-oversi,Scalable Stewardship of an LLM-Assisted Clinical Benchmark with Physician Oversight,benchmark,77.5
246,scaling-medical-reasoning-verification-via-tool-integrated-reinforcement-learnin,Scaling Medical Reasoning Verification via Tool-Integrated Reinforcement Learning,method_model,65.0
247,shortagesim-simulating-drug-shortages-under-information-asymmetry,ShortageSim: Simulating Drug Shortages under Information Asymmetry,agent_system,90.0
248,should-we-be-going-mad-a-look-at-multi-agent-debate-strategies-for-llms,Should we be going MAD? A Look at Multi-Agent Debate Strategies for LLMs,benchmark,77.5
249,silence-is-not-consensus-disrupting-agreement-bias-in-multi-agent-llms-via-catfi,Silence is Not Consensus: Disrupting Agreement Bias in Multi-Agent LLMs via Catfish Agent for Clinical Decision Making,method_model,67.5
250,simulated-patient-systems-powered-by-large-language-model-based-ai-agents-offer-,Simulated patient systems powered by large language model-based AI agents offer potential for transforming medical education,agent_system,55.0
251,standard-applicability-judgment-and-cross-jurisdictional-reasoning-a-rag-based-f,Standard Applicability Judgment and Cross-jurisdictional Reasoning: A RAG-based Framework for Medical Device Compliance,agent_system,85.0
252,survagent-hierarchical-cot-enhanced-case-banking-and-y-based-multi-agent-system-,SurvAgent: Hierarchical CoT-Enhanced Case Banking and y-Based Multi-Agent System for Multimodal Survival Prediction,agent_system,67.5
253,synthagent-a-multi-agent-llm-framework-for-realistic-patient-simulation-a-case-s,SynthAgent: A Multi-Agent LLM Framework for Realistic Patient Simulation - A Case Study in Obesity with Mental Health Comorbidities,agent_system,67.5
254,talk2care-facilitating-asynchronous-patient-provider-communication-with-large-la,Talk2Care: Facilitating Asynchronous Patient-Provider Communication with Large-Language-Model,agent_system,62.5
255,tarse-test-time-adaptation-via-retrieval-of-skills-and-experience-for-reasoning-,TARSE: Test-Time Adaptation via Retrieval of Skills and Experience for Reasoning Agents,method_model,67.5
256,the-ai-scientist-v2-workshop-level-automated-scientific-discovery-via-agentic-tr,THE AI SCIENTIST-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,agent_system,0.0
257,the-ai-scientist-towards-fully-automated-open-ended-scientific-discovery,The AI Scientist: Towards Fully Automated Open-Ended Scientific Discovery,agent_system,67.5
258,the-anatomy-of-a-personal-health-agent,The Anatomy of a Personal Health Agent,agent_system,67.5
259,the-doctor-will-still-see-you-now-on-the-structural-limits-of-agentic-ai-in-heal,The Doctor Will (Still) See You Now: On the Structural Limits of Agentic AI in Healthcare*,conceptual_commentary,70.0
260,the-optimization-paradox-in-clinical-ai-multi-agent-systems,The Optimization Paradox in Clinical AI Multi-Agent Systems,agent_system,90.0
261,the-virtual-lab-ai-agents-design-new-sars-cov-2-nanobodies-with-experimental-val,The Virtual Lab: AI Agents Design New SARS-CoV-2 Nanobodies with Experimental Validation,agent_system,50.0
262,thucy-an-llm-based-multi-agent-system-for-claim-verification-across-relational-d,Thucy: An LLM-based Multi-Agent System for Claim Verification across Relational Databases,agent_system,70.0
263,toolformer-language-models-can-teach-themselves-to-use-tools,Toolformer: Language Models Can Teach Themselves to Use Tools,method_model,57.5
264,towards-efficient-and-robust-linguistic-emotion-diagnosis-for-mental-health-via-,Towards Efficient and Robust Linguistic Emotion Diagnosis for Mental Health via Multi-Agent Instruction Refinement,method_model,55.0
265,towards-next-generation-medical-agent-how-01-is-reshaping-decision-making-in-med,TOWARDS NEXT-GENERATION MEDICAL AGENT: HOW 01 IS RESHAPING DECISION-MAKING IN MEDICAL SCENARIOS,method_model,67.5
266,trace-temporal-reasoning-via-agentic-context-evolution-for-streaming-electronic-,TRACE: Temporal Reasoning via Agentic Context Evolution for Streaming Electronic Health Records (EHRs),method_model,72.5
267,traj-coa-patient-trajectory-modeling-via-chain-of-agents-for-lung-cancer-risk-pr,Traj-CoA: Patient Trajectory Modeling via Chain-of-Agents for Lung Cancer Risk Prediction,agent_system,55.0
268,tree-of-reasoning-towards-complex-medical-diagnosis-via-multi-agent-reasoning-wi,Tree-of-Reasoning: Towards Complex Medical Diagnosis via Multi-Agent Reasoning with Evidence Tree,agent_system,67.5
269,trustworthy-agents-for-electronic-health-records-through-confidence-estimation,Trustworthy Agents for Electronic Health Records through Confidence Estimation,agent_system,67.5
270,txagent-an-ai-agent-for-therapeutic-reasoning-across-a-universe-of-tools,TxAgent: An AI Agent for Therapeutic Reasoning Across a Universe of Tools,agent_system,77.5
271,ucagents-unidirectional-convergence-for-visual-evidence-anchored-multi-agent-med,UCAgents: Unidirectional Convergence for Visual Evidence Anchored Multi-Agent Medical Decision-Making,method_model,67.5
272,understanding-the-benefits-and-challenges-of-using-large-language-model-based-co,Understanding the Benefits and Challenges of Using Large Language Model-based Conversational Agents for Mental Well-being Support,survey_review,84.62
273,vchatter-exploring-generative-conversational-agents-for-simulating-exposure-ther,VChatter: Exploring Generative Conversational Agents for Simulating Exposure Therapy to Reduce Social Anxiety,agent_system,50.0
274,vision-language-model-for-report-generation-and-outcome-prediction-in-ct-pulmona,Vision-language model for report generation and outcome prediction in CT pulmonary angiogram,agent_system,55.0
275,webgpt-browser-assisted-question-answering-with-human-feedback,WebGPT: Browser-assisted question-answering with human feedback,method_model,25.0
276,webpilot-a-versatile-and-autonomous-multi-agent-system-for-web-task-execution-wi,WebPilot: A Versatile and Autonomous Multi-Agent System for Web Task Execution with Strategic Exploration,agent_system,45.0
277,which-tool-response-should-i-trust-tool-expertise-aware-chest-x-ray-agent-with-m,Which Tool Response Should I Trust? Tool-Expertise-Aware Chest X-ray Agent with Multimodal Agentic Learning,agent_system,57.5
278,wsi-agents-a-collaborative-multi-agent-system-for-multi-modal-whole-slide-image-,WSI-Agents: A Collaborative Multi-Agent System for Multi-Modal Whole Slide Image Analysis,agent_system,67.5
279,zodiac-a-cardiologist-level-llm-framework-for-multi-agent-diagnostics,ZODIAC: A CARDIOLOGIST-LEVEL LLM FRAMEWORK FOR MULTI-AGENT DIAGNOSTICS,agent_system,67.5
